|     17 | MK45 2AB   | 52.0294170000 | -0.4445400000 |
|     18 | RG5 3AY    | 51.4605520000 | -0.9145200000 |
|     19 | RG5 4DN    | 51.4431710000 | -0.8943700000 |
|     20 | BS11 0BU   | 51.4898630000 | -2.6756980000 |
|     21 | BS11 0DG   | 51.4909790000 | -2.6786530000 |
|     31 | NE9 5AL    | 54.9391100000 | -1.5992330000 |
|     33 | NE9 5AL    | 54.9391100000 | -1.5992330000 |
|     32 | NE9 5AX    | 54.9434440000 | -1.6026870000 |
|     34 | NE9 5AL    | 54.9391100000 | -1.5992330000 |
|     36 | NE9 5AL    | 54.9391100000 | -1.5992330000 |
|     35 | NE9 5AX    | 54.9434440000 | -1.6026870000 |
|     37 |      PL31 2BA  | 50.4859620000 | -4.7072810000 |
|     38 |      PL31 2DP  | 50.4714000000 | -4.7176680000 |
|      4 |      PL31 2BW  | 50.4734150000 | -4.7087910000 |
|     22 | DE12 6AF   | 52.7358780000 | -1.5344130000 |
|     23 |      DE12 6BJ  | 52.7308710000 | -1.5392050000 |
|     24 |      CA28 0BF  | 54.5446340000 | -3.5904260000 |
|     25 |      CA28 0SB  | 54.5457490000 | -3.5890310000 |
|     26 | HU9 1DP    | 53.7476910000 | -0.3217920000 |
|     27 | HU9 1EF    | 53.7489710000 | -0.3207550000 |
|     28 |      DT4 0AB   | 50.6110800000 | -2.4605550000 |
|     29 |      DT4 0BS   | 50.6062090000 | -2.4708660000 |
|     30 |              DH6 4LD  | 54.7199860000 | -1.5073340000 |
|     39 |      DH6 4PA   | 54.7178010000 | -1.4980920000 |
|     40 | HU6 0AP    | 53.8039530000 | -0.3752470000 |
|     41 | HU6 7AS    | 53.7888320000 | -0.3599070000 |
|     42 | HU6 7EA    | 53.7828450000 | -0.3540240000 |
|     43 | TN36 4AH   | 50.9120030000 |  0.6829460000 |
|     44 | TN36 4AY   | 50.9216070000 |  0.6539010000 |
|     45 | TN36 4ZU   | 50.9515610000 |  0.7313880000 |
|     46 | SS7 1BN    | 51.5651190000 |  0.5672180000 |
|     47 | SS7 1DE    | 51.5561100000 |  0.5642440000 |
|     48 | SS7 1JH    | 51.5542070000 |  0.5640940000 |
|     49 | M60 0YZ    | 53.4873620000 | -2.2271970000 |
|     50 | M60 1WD    | 53.4873620000 | -2.2271970000 |
+--------+------------+---------------+---------------+
50 rows in set (0.00 sec)

mysql> select * from edgesnodes;
+------+--------+--------+
| vnID | nodeid | edgeID |
|   33 |     47 |     14 |
|   34 |     45 |     16 |
|   35 |     43 |     17 |
|   36 |     41 |     19 |
|   37 |     39 |     21 |
|   38 |     37 |     48 |
|   39 |     35 |     46 |
|   40 |     33 |     24 |
|   41 |     29 |     25 |
|   42 |     27 |     26 |
|   43 |     25 |     28 |
|   44 |     21 |     30 |
|   45 |     17 |     32 |
|   46 |     14 |     34 |
|   47 |     19 |     36 |
|   48 |     20 |     38 |
|   49 |     22 |     40 |
|   50 |     31 |     44 |
+------+--------+--------+
50 rows in set (0.00 sec)

mysql> select * from edges;
+--------+----------+----------+
| edgeID | distance | duration |
+--------+----------+----------+
|      1 |    10.00 |     5.00 |
|      2 |    20.00 |    10.00 |
|      3 |     5.00 |     3.00 |
|      4 |    11.00 |     8.00 |
|      5 |    30.00 |    20.00 |
|      6 |     3.00 |     1.00 |
|      7 |    15.00 |     3.00 |
|      8 |   103.00 |    12.00 |
|      9 |    12.00 |     4.00 |
|     10 |   111.00 |    18.00 |
|     11 |    19.00 |     5.00 |
|     12 |   108.00 |    22.00 |
|     13 |   121.00 |    87.00 |
|     14 |    63.00 |    10.00 |
|     15 |   172.00 |    86.00 |
|     16 |    74.00 |    21.00 |
|     17 |   121.00 |    77.00 |
|     18 |   109.00 |    19.00 |
|     19 |    45.00 |     9.00 |
|     20 |   132.00 |    99.00 |
|     21 |    82.00 |    42.00 |
|     22 |    13.00 |     8.00 |
|     23 |   210.00 |   106.00 |
|     24 |    99.00 |    38.00 |
|     25 |   104.00 |    88.00 |
|     26 |    19.00 |     9.00 |
|     27 |    18.00 |     8.00 |
|     28 |   108.00 |    62.00 |
|     29 |    98.00 |    30.00 |
|     30 |    78.00 |    40.00 |
|     31 |   111.00 |    67.00 |
|     32 |   182.00 |   101.00 |
|     33 |    13.00 |     8.00 |
|     34 |   141.00 |   100.00 |
|     35 |   143.00 |    99.00 |
|     36 |    18.00 |     8.00 |
|     37 |   201.00 |   101.00 |
|     38 |   138.00 |   102.00 |
|     39 |   144.00 |   104.00 |
|     40 |   109.00 |    99.00 |
|     41 |   203.00 |    87.00 |
|     42 |   210.00 |    92.00 |
|     43 |    98.00 |    56.00 |
|     44 |    19.00 |     8.00 |
|     45 |   117.00 |   105.00 |
|     46 |    85.00 |    48.00 |
|     47 |   104.00 |    89.00 |
|     48 |    16.00 |    10.00 |
|     49 |   113.00 |    77.00 |
|     50 |   203.00 |   110.00 |
+--------+----------+----------+
50 rows in set (0.00 sec)

mysql> select * from edgesnodes en inner join edges e on e2 on e.edgeid = e2.edgeid where e.nodeid=1;
ERROR 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'on e.edgeid = e2.edgeid where e.nodeid=1' at line 1
mysql> select * from edgesnodes e1 inner join edges e2 on e1.edgeid=e2.edgeid where e1.nodeid=1;
+------+--------+--------+--------+----------+----------+
| vnID | nodeid | edgeID | edgeID | distance | duration |
+------+--------+--------+--------+----------+----------+
|    1 |      1 |      1 |      1 |    10.00 |     5.00 |
|    3 |      1 |      2 |      2 |    20.00 |    10.00 |
+------+--------+--------+--------+----------+----------+
2 rows in set (0.00 sec)

mysql> select * from edgesnodes e1 inner join edges e2 on e1.edgeid=e2.edgeid where e1.nodeid=3;
+------+--------+--------+--------+----------+----------+
| vnID | nodeid | edgeID | edgeID | distance | duration |
+------+--------+--------+--------+----------+----------+
|    2 |      3 |      1 |      1 |    10.00 |     5.00 |
|    5 |      3 |      3 |      3 |     5.00 |     3.00 |
+------+--------+--------+--------+----------+----------+
2 rows in set (0.00 sec)

mysql> select * from edgesnodes e1 inner join edges e2 on e1.edgeid=e2.edgeid where e1.nodeid=7;
+------+--------+--------+--------+----------+----------+
| vnID | nodeid | edgeID | edgeID | distance | duration |
+------+--------+--------+--------+----------+----------+
|   10 |      7 |      5 |      5 |    30.00 |    20.00 |
+------+--------+--------+--------+----------+----------+
1 row in set (0.00 sec)

mysql> select nodeid from edgesnodes where edgeid in (select en.edgeid from edgesnodes en inner join nodes n on en.nodesid where n.nodeid=3) and !=3;
ERROR 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '!=3' at line 1
mysql> select nodeid from edgesnodes where edgeid in (select en.edgeid from edgesnodes en inner join nodes n on en.nodeid where n.nodeid=3) and !=3;
ERROR 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '!=3' at line 1
mysql> select nodeid from edgesnodes where edgeid in (select en.edgeid from edgesnodes en inner join nodes n on en.nodeid where n.nodeid=3) and nodeid !=3;
+--------+
| nodeid |
+--------+
|      1 |
|      1 |
|      2 |
|      5 |
|      2 |
|      6 |
|      2 |
|      7 |
|      5 |
|      6 |
|     15 |
|     18 |
|     16 |
|     13 |
|     23 |
|     24 |
|     26 |
|     28 |
|     30 |
|     32 |
|     34 |
|     36 |
|     38 |
|     40 |
|     42 |
|     44 |
|     46 |
|     48 |
|     50 |
|     49 |
|     47 |
|     45 |
|     43 |
|     41 |
|     39 |
|     37 |
|     35 |
|     33 |
|     29 |
|     27 |
|     25 |
|     21 |
|     17 |
|     14 |
|     19 |
|     20 |
|     22 |
|     31 |
+--------+
48 rows in set (0.04 sec)

mysql>select * from marker_location e1 inner join location e2 on e1.loc_id=e2.loc_id where e1.mark_loc_id=1

https://creately.com/diagram/example/ia453hh2/Google%20Maps%20Integration%20Diagram
